SK_Solicitante;Matricula;NomeSolicitante;Cargo;SK_CentroCusto;Email
1;M10001;Sabrina Henriques;Analista;8;colaborador01@empresa.com.br
2;M10002;Nicolas Dias;Operador;2;colaborador02@empresa.com.br
3;M10003;Nicolas Ferreira;Eletricista;7;colaborador03@empresa.com.br
4;M10004;Olívia Almeida;Operador;1;colaborador04@empresa.com.br
5;M10005;Marcela Ferreira;Operador;4;colaborador05@empresa.com.br
6;M10006;Gabriela Dias;Auxiliar;3;colaborador06@empresa.com.br
7;M10007;Nicolas Cardoso;Encarregado;8;colaborador07@empresa.com.br
8;M10008;Henrique Barbosa;Auxiliar;9;colaborador08@empresa.com.br
9;M10009;Diego Almeida;Técnico de Manutenção;2;colaborador09@empresa.com.br
10;M10010;Henrique Cardoso;Eletricista;8;colaborador10@empresa.com.br
11;M10011;Paulo Dias;Eletricista;1;colaborador11@empresa.com.br
12;M10012;Felipe Gomes;Técnico de Manutenção;7;colaborador12@empresa.com.br
13;M10013;Isabela Henriques;Encarregado;7;colaborador13@empresa.com.br
14;M10014;Rafael Henriques;Supervisor;4;colaborador14@empresa.com.br
15;M10015;João Dias;Técnico de Manutenção;10;colaborador15@empresa.com.br
16;M10016;Rafael Almeida;Mecânico;1;colaborador16@empresa.com.br
17;M10017;Bruno Jardim;Auxiliar;9;colaborador17@empresa.com.br
18;M10018;Queila Cardoso;Técnico de Manutenção;9;colaborador18@empresa.com.br
19;M10019;Camila Cardoso;Operador;10;colaborador19@empresa.com.br
20;M10020;Camila Dias;Eletricista;2;colaborador20@empresa.com.br
21;M10021;Sabrina Dias;Técnico de Manutenção;10;colaborador21@empresa.com.br
22;M10022;Camila Gomes;Mecânico;5;colaborador22@empresa.com.br
23;M10023;Gabriela Ferreira;Analista;5;colaborador23@empresa.com.br
24;M10024;Marcela Cardoso;Encarregado;8;colaborador24@empresa.com.br
25;M10025;Karina Barbosa;Técnico de Manutenção;8;colaborador25@empresa.com.br
26;M10026;Thiago Jardim;Operador;2;colaborador26@empresa.com.br
27;M10027;Rafael Dias;Encarregado;3;colaborador27@empresa.com.br
28;M10028;Lucas Barbosa;Analista;6;colaborador28@empresa.com.br
29;M10029;João Cardoso;Auxiliar;9;colaborador29@empresa.com.br
30;M10030;João Jardim;Técnico de Manutenção;11;colaborador30@empresa.com.br
31;M10031;Rafael Esteves;Operador;3;colaborador31@empresa.com.br
32;M10032;Isabela Barbosa;Operador;12;colaborador32@empresa.com.br
33;M10033;Rafael Cardoso;Encarregado;5;colaborador33@empresa.com.br
34;M10034;Thiago Dias;Mecânico;4;colaborador34@empresa.com.br
35;M10035;Isabela Inácio;Auxiliar;5;colaborador35@empresa.com.br
36;M10036;Bruno Barbosa;Eletricista;5;colaborador36@empresa.com.br
37;M10037;Bruno Almeida;Mecânico;3;colaborador37@empresa.com.br
38;M10038;Isabela Cardoso;Auxiliar;9;colaborador38@empresa.com.br
39;M10039;Nicolas Inácio;Técnico de Manutenção;2;colaborador39@empresa.com.br
40;M10040;Camila Cardoso;Técnico de Manutenção;6;colaborador40@empresa.com.br
